date,open,close,high,low,volume,amount,amplitude,change_pct,change_val,turnover
2021-02-01,5356.85,5417.65,5422.30,5342.05,166313705,346859085824.00,1.50,1.23,65.69,0.51
2021-02-23,5542.68,5579.67,5644.76,5541.11,233807726,424904470528.00,1.85,-0.32,-17.66,0.72
2021-03-10,5047.06,5003.61,5055.28,4981.62,169928489,309577408512.00,1.48,0.66,32.61,0.52
2021-03-25,4904.07,4926.35,4950.76,4883.66,132945188,219782049792.00,1.36,-0.05,-2.34,0.41
2021-04-12,5026.98,4947.75,5045.60,4933.01,152644314,267218194432.00,2.24,-1.74,-87.59,0.47
2021-04-27,5076.64,5090.52,5095.98,5042.61,123961838,254738010112.00,1.05,0.26,13.28,0.38
2021-05-17,5115.31,5184.99,5206.69,5115.31,153889633,335439912960.00,1.79,1.46,74.40,0.47
2021-05-31,5318.08,5331.57,5331.63,5281.69,144603269,321450799104.00,0.94,0.20,10.48,0.44
2021-06-16,5163.25,5080.49,5164.52,5076.02,125147986,298286772224.00,1.71,-1.67,-86.07,0.38
2021-07-01,5241.20,5229.66,5252.26,5190.88,127240620,324097400832.00,1.17,0.11,5.62,0.39
2021-07-16,5140.90,5094.77,5140.90,5090.63,169955983,362594258944.00,0.98,-1.10,-56.69,0.52
2021-08-02,4794.82,4933.74,4938.82,4761.46,227194918,524659449856.00,3.69,2.55,122.57,0.70
2021-08-17,4935.00,4837.40,4967.56,4823.39,187573473,388457132032.00,2.92,-2.10,-103.67,0.57
2021-09-01,4804.69,4869.46,4906.40,4763.30,326721080,568819748864.00,2.98,1.33,63.85,1.00
2021-09-16,4866.79,4807.70,4879.53,4806.14,216752100,393517268992.00,1.51,-1.22,-59.62,0.66
2021-10-12,4920.66,4883.84,4925.49,4840.77,168079337,299424239616.00,1.72,-1.06,-52.35,0.51
2021-10-27,4949.23,4898.16,4949.23,4884.94,147111593,299460468736.00,1.30,-1.31,-64.94,0.45
2021-11-11,4814.77,4898.65,4898.65,4809.11,160484864,323624628224.00,1.86,1.61,77.46,0.49
2021-11-26,4886.95,4860.13,4886.95,4850.81,120368975,243041337344.00,0.74,-0.74,-36.31,0.37
2021-12-13,5090.02,5083.80,5143.84,5079.73,211801595,426376531968.00,1.27,0.57,28.68,0.65
2021-12-28,4923.69,4955.96,4959.14,4913.60,130457756,276316733440.00,0.93,0.74,36.64,0.40
2022-01-13,4853.03,4765.92,4853.06,4765.24,142519652,288799117312.00,1.81,-1.64,-79.66,0.44
2022-01-28,4641.81,4563.77,4660.52,4559.83,126480113,263967891456.00,2.18,-1.21,-56.11,0.39
